Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
agnews,mmd,sliding,100,gradual,0.5,1.0,0.6667,22.0,23006.0,0.000872,0.0,392.6667,0.5,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000872,0.0,392.6667,0.5,2.0
agnews,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,76.0,28166.0,0.000872,0.0,392.6667,0.5,0.6667
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,130.0,33329.0,0.0,13.0,353.3333,0.5,0.0
agnews,padd,sliding,100,gradual,1.0,1.0,1.0,166.0,23852.0,0.0,13.0,353.3333,0.5,0.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,13.0,353.3333,0.5,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,148.0,28590.5,0.0,13.0,353.3333,0.5,0.3333
agnews,mmd,sliding,100,sudden,0.5,1.0,0.6667,198.0,35059.0,0.000871,0.0,369.3333,0.5,1.0
agnews,mmd,sliding,100,gradual,0.5,1.0,0.6667,92.0,24574.0,0.000871,0.0,369.3333,0.5,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000871,0.0,369.3333,0.5,2.0
agnews,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,145.0,29816.5,0.000871,0.0,369.3333,0.5,0.6667
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,198.0,34807.0,0.0,20.0,352.6667,0.5,0.0
agnews,padd,sliding,100,gradual,1.0,1.0,1.0,182.0,25603.0,0.0,20.0,352.6667,0.5,0.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,20.0,352.6667,0.5,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,190.0,30205.0,0.0,20.0,352.6667,0.5,0.3333
agnews,mmd,sliding,100,sudden,1.0,1.0,1.0,80.0,32662.0,0.0,0.0,359.0,0.5,0.0
agnews,mmd,sliding,100,gradual,1.0,1.0,1.0,123.0,23024.0,0.0,0.0,359.0,0.5,0.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,359.0,0.5,1.0
