Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,200,__GLOBAL__,1.0,0.3333,0.5,145.0,30020.0,0.0,0.0,970.0,2.0,0.6667
newsgroups,padd,sliding,200,sudden,1.0,1.0,1.0,145.0,30023.0,0.0,0.0,970.0,2.0,0.0
newsgroups,padd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,0.0,970.0,2.0,1.0
newsgroups,padd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,970.0,2.0,1.0
newsgroups,padd,sliding,200,__GLOBAL__,1.0,0.3333,0.5,145.0,30023.0,0.0,0.0,970.0,2.0,0.6667
newsgroups,mmd,sliding,200,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,200,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,padd,sliding,200,sudden,0.5,1.0,0.6667,132.0,34318.0,0.000871,8.5,353.3333,0.5,1.0
newsgroups,padd,sliding,200,gradual,0.5,1.0,0.6667,157.0,22922.0,0.000871,8.5,353.3333,0.5,1.0
newsgroups,padd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.000871,8.5,353.3333,0.5,2.0
newsgroups,padd,sliding,200,__GLOBAL__,0.6667,0.6667,0.6667,144.5,28620.0,0.000871,8.5,353.3333,0.5,0.6667
newsgroups,mmd,sliding,200,sudden,1.0,1.0,1.0,166.0,34322.0,0.0,0.0,956.0,2.0,0.0
newsgroups,mmd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,0.0,956.0,2.0,1.0
newsgroups,mmd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,956.0,2.0,1.0
newsgroups,mmd,sliding,200,__GLOBAL__,1.0,0.3333,0.5,166.0,34322.0,0.0,0.0,956.0,2.0,0.6667
newsgroups,padd,sliding,200,sudden,1.0,1.0,1.0,439.0,54192.0,0.0,0.0,774.0,2.0,0.0
newsgroups,padd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,0.0,774.0,2.0,1.0
